date,region,number
28/12/2020,North East,132
27/12/2020,North East,1100
26/12/2020,North East,883
25/12/2020,North East,266
24/12/2020,North East,704
23/12/2020,North East,1020
22/12/2020,North East,1107
21/12/2020,North East,982
20/12/2020,North East,739
19/12/2020,North East,605
18/12/2020,North East,782
17/12/2020,North East,628
16/12/2020,North East,813
15/12/2020,North East,888
14/12/2020,North East,876
13/12/2020,North East,572
12/12/2020,North East,507
11/12/2020,North East,650
10/12/2020,North East,647
09/12/2020,North East,644
08/12/2020,North East,725
07/12/2020,North East,758
06/12/2020,North East,511
05/12/2020,North East,413
04/12/2020,North East,557
03/12/2020,North East,591
02/12/2020,North East,643
01/12/2020,North East,647
30/11/2020,North East,766
29/11/2020,North East,455
28/11/2020,North East,494
27/11/2020,North East,638
26/11/2020,North East,704
25/11/2020,North East,804
24/11/2020,North East,853
23/11/2020,North East,973
22/11/2020,North East,625
21/11/2020,North East,678
20/11/2020,North East,942
19/11/2020,North East,1024
18/11/2020,North East,1341
17/11/2020,North East,1469
16/11/2020,North East,1571
15/11/2020,North East,1052
14/11/2020,North East,1051
13/11/2020,North East,1511
12/11/2020,North East,1534
11/11/2020,North East,1859
10/11/2020,North East,1778
09/11/2020,North East,2055
08/11/2020,North East,1295
07/11/2020,North East,1345
06/11/2020,North East,1460
05/11/2020,North East,1485
04/11/2020,North East,1415
03/11/2020,North East,1518
02/11/2020,North East,1672
01/11/2020,North East,994
31/10/2020,North East,885
30/10/2020,North East,1210
29/10/2020,North East,1122
28/10/2020,North East,1171
27/10/2020,North East,1176
26/10/2020,North East,1318
25/10/2020,North East,848
24/10/2020,North East,861
23/10/2020,North East,1039
22/10/2020,North East,1227
21/10/2020,North East,1506
20/10/2020,North East,1433
19/10/2020,North East,1410
18/10/2020,North East,825
17/10/2020,North East,807
16/10/2020,North East,1079
15/10/2020,North East,1168
14/10/2020,North East,1388
13/10/2020,North East,1296
12/10/2020,North East,1386
11/10/2020,North East,931
10/10/2020,North East,843
09/10/2020,North East,1178
08/10/2020,North East,1377
07/10/2020,North East,1473
06/10/2020,North East,1442
05/10/2020,North East,1374
04/10/2020,North East,1199
03/10/2020,North East,1164
02/10/2020,North East,1216
01/10/2020,North East,1183
30/09/2020,North East,963
29/09/2020,North East,1046
28/09/2020,North East,969
27/09/2020,North East,660
26/09/2020,North East,778
25/09/2020,North East,607
24/09/2020,North East,719
23/09/2020,North East,640
22/09/2020,North East,549
21/09/2020,North East,610
20/09/2020,North East,590
19/09/2020,North East,434
18/09/2020,North East,463
17/09/2020,North East,370
16/09/2020,North East,328
15/09/2020,North East,263
14/09/2020,North East,196
13/09/2020,North East,141
12/09/2020,North East,156
11/09/2020,North East,200
10/09/2020,North East,236
09/09/2020,North East,234
08/09/2020,North East,224
07/09/2020,North East,203
06/09/2020,North East,170
05/09/2020,North East,233
04/09/2020,North East,176
03/09/2020,North East,204
02/09/2020,North East,127
01/09/2020,North East,118
31/08/2020,North East,91
30/08/2020,North East,61
29/08/2020,North East,78
28/08/2020,North East,67
27/08/2020,North East,66
26/08/2020,North East,68
25/08/2020,North East,49
24/08/2020,North East,39
23/08/2020,North East,23
22/08/2020,North East,33
21/08/2020,North East,42
20/08/2020,North East,43
19/08/2020,North East,46
18/08/2020,North East,36
17/08/2020,North East,32
16/08/2020,North East,11
15/08/2020,North East,18
14/08/2020,North East,31
13/08/2020,North East,53
12/08/2020,North East,39
11/08/2020,North East,45
10/08/2020,North East,21
09/08/2020,North East,15
08/08/2020,North East,12
07/08/2020,North East,15
06/08/2020,North East,24
05/08/2020,North East,30
04/08/2020,North East,20
03/08/2020,North East,19
02/08/2020,North East,16
01/08/2020,North East,9
31/07/2020,North East,12
30/07/2020,North East,15
29/07/2020,North East,21
28/07/2020,North East,5
27/07/2020,North East,9
26/07/2020,North East,6
25/07/2020,North East,5
24/07/2020,North East,7
23/07/2020,North East,8
22/07/2020,North East,16
21/07/2020,North East,14
20/07/2020,North East,11
19/07/2020,North East,7
18/07/2020,North East,4
17/07/2020,North East,10
16/07/2020,North East,15
15/07/2020,North East,16
14/07/2020,North East,12
13/07/2020,North East,9
12/07/2020,North East,3
11/07/2020,North East,7
10/07/2020,North East,10
09/07/2020,North East,17
08/07/2020,North East,12
07/07/2020,North East,12
06/07/2020,North East,11
05/07/2020,North East,4
04/07/2020,North East,9
03/07/2020,North East,8
02/07/2020,North East,9
01/07/2020,North East,7
30/06/2020,North East,11
29/06/2020,North East,11
28/06/2020,North East,9
27/06/2020,North East,13
26/06/2020,North East,8
25/06/2020,North East,12
24/06/2020,North East,11
23/06/2020,North East,26
22/06/2020,North East,24
21/06/2020,North East,4
20/06/2020,North East,17
19/06/2020,North East,14
18/06/2020,North East,23
17/06/2020,North East,19
16/06/2020,North East,18
15/06/2020,North East,32
14/06/2020,North East,31
13/06/2020,North East,31
12/06/2020,North East,40
11/06/2020,North East,23
10/06/2020,North East,38
09/06/2020,North East,40
08/06/2020,North East,34
07/06/2020,North East,17
06/06/2020,North East,28
05/06/2020,North East,42
04/06/2020,North East,59
03/06/2020,North East,51
02/06/2020,North East,59
01/06/2020,North East,70
31/05/2020,North East,46
30/05/2020,North East,46
29/05/2020,North East,70
28/05/2020,North East,49
27/05/2020,North East,116
26/05/2020,North East,100
25/05/2020,North East,59
24/05/2020,North East,76
23/05/2020,North East,76
22/05/2020,North East,95
21/05/2020,North East,130
20/05/2020,North East,131
19/05/2020,North East,124
18/05/2020,North East,147
17/05/2020,North East,98
16/05/2020,North East,126
15/05/2020,North East,137
14/05/2020,North East,139
13/05/2020,North East,142
12/05/2020,North East,220
11/05/2020,North East,229
10/05/2020,North East,150
09/05/2020,North East,151
08/05/2020,North East,158
07/05/2020,North East,199
06/05/2020,North East,243
05/05/2020,North East,252
04/05/2020,North East,234
03/05/2020,North East,162
02/05/2020,North East,183
01/05/2020,North East,273
