date,areaType,areaCode,areaName,newCasesBySpecimenDate
"2020-12-28",region,E12000001,North East,132
"2020-12-27",region,E12000001,North East,1100
"2020-12-26",region,E12000001,North East,883
"2020-12-25",region,E12000001,North East,266
"2020-12-24",region,E12000001,North East,704
"2020-12-23",region,E12000001,North East,1020
"2020-12-22",region,E12000001,North East,1107
"2020-12-21",region,E12000001,North East,982
"2020-12-20",region,E12000001,North East,739
"2020-12-19",region,E12000001,North East,605
"2020-12-18",region,E12000001,North East,782
"2020-12-17",region,E12000001,North East,628
"2020-12-16",region,E12000001,North East,813
"2020-12-15",region,E12000001,North East,888
"2020-12-14",region,E12000001,North East,876
"2020-12-13",region,E12000001,North East,572
"2020-12-12",region,E12000001,North East,507
"2020-12-11",region,E12000001,North East,650
"2020-12-10",region,E12000001,North East,647
"2020-12-09",region,E12000001,North East,644
"2020-12-08",region,E12000001,North East,725
"2020-12-07",region,E12000001,North East,758
"2020-12-06",region,E12000001,North East,511
"2020-12-05",region,E12000001,North East,413
"2020-12-04",region,E12000001,North East,557
"2020-12-03",region,E12000001,North East,591
"2020-12-02",region,E12000001,North East,643
"2020-12-01",region,E12000001,North East,647
"2020-11-30",region,E12000001,North East,766
"2020-11-29",region,E12000001,North East,455
"2020-11-28",region,E12000001,North East,494
"2020-11-27",region,E12000001,North East,638
"2020-11-26",region,E12000001,North East,704
"2020-11-25",region,E12000001,North East,804
"2020-11-24",region,E12000001,North East,853
"2020-11-23",region,E12000001,North East,973
"2020-11-22",region,E12000001,North East,625
"2020-11-21",region,E12000001,North East,678
"2020-11-20",region,E12000001,North East,942
"2020-11-19",region,E12000001,North East,1024
"2020-11-18",region,E12000001,North East,1341
"2020-11-17",region,E12000001,North East,1469
"2020-11-16",region,E12000001,North East,1571
"2020-11-15",region,E12000001,North East,1052
"2020-11-14",region,E12000001,North East,1051
"2020-11-13",region,E12000001,North East,1511
"2020-11-12",region,E12000001,North East,1534
"2020-11-11",region,E12000001,North East,1859
"2020-11-10",region,E12000001,North East,1778
"2020-11-09",region,E12000001,North East,2055
"2020-11-08",region,E12000001,North East,1295
"2020-11-07",region,E12000001,North East,1345
"2020-11-06",region,E12000001,North East,1460
"2020-11-05",region,E12000001,North East,1485
"2020-11-04",region,E12000001,North East,1415
"2020-11-03",region,E12000001,North East,1518
"2020-11-02",region,E12000001,North East,1672
"2020-11-01",region,E12000001,North East,994
"2020-10-31",region,E12000001,North East,885
"2020-10-30",region,E12000001,North East,1210
